Date,Adj Close,Price Chg,Signal
20170103,2257.830078,0.005722274,Buy
20170104,2270.75,-0.00077067,Sell
20170105,2269,0.003516959,Buy
20170106,2276.97998,-0.003548594,Sell
20170109,2268.899902,0,Excluded
20170110,2268.899902,0.002829638,Buy
20170111,2275.320068,-0.002144809,Sell
20170112,2270.439941,0.001849841,Buy
20170113,2274.639893,-0.002967503,Sell
20170117,2267.889893,0.001763754,Buy
20170118,2271.889893,-0.003609309,Sell
20170119,2263.689941,0.003366238,Buy
20170120,2271.310059,-0.002690125,Sell
20170123,2265.199951,0.006564594,Buy
20170124,2280.070068,0.008026091,Buy
20170125,2298.370117,-0.000735384,Sell
20170126,2296.679932,-0.000866464,Sell
20170127,2294.689941,-0.006009543,Sell
20170130,2280.899902,-0.000889905,Sell
20170131,2278.870117,0.000298364,Buy
20170201,2279.550049,0.000570309,Buy
20170202,2280.850098,0.007264758,Buy
20170203,2297.419922,-0.002115357,Sell
20170206,2292.560059,0.000226829,Buy
20170207,2293.080078,0.000693322,Buy
20170208,2294.669922,0.005752546,Buy
20170209,2307.870117,0.00356605,Buy
20170210,2316.100098,0.005245845,Buy
20170213,2328.25,0.004007335,Buy
20170214,2337.580078,0.004992309,Buy
20170215,2349.25,-0.000864118,Sell
20170216,2347.219971,0.001678556,Buy
20170217,2351.159912,0.006048066,Buy
20170221,2365.379883,-0.0010822,Sell
20170222,2362.820068,0.000418987,Buy
20170223,2363.810059,0.001493364,Buy
20170224,2367.340088,0.001017983,Buy
20170227,2369.75,-0.002578376,Sell
20170228,2363.639893,0.013673855,Buy
20170301,2395.959961,-0.00585988,Sell
20170302,2381.919922,0.000503877,Buy
20170303,2383.120117,-0.003277241,Sell
20170306,2375.310059,-0.002913374,Sell
20170307,2368.389893,-0.002284216,Sell
20170308,2362.97998,0.000799895,Buy
20170309,2364.870117,0.00326867,Buy
20170310,2372.600098,0.000366633,Buy
20170313,2373.469971,-0.003379027,Sell
20170314,2365.449951,0.008374753,Buy
20170315,2385.26001,-0.00162671,Sell
20170316,2381.379883,-0.001314315,Sell
20170317,2378.25,-0.002009893,Sell
20170320,2373.469971,-0.012407973,Sell
20170321,2344.02002,0.001889886,Buy
20170322,2348.449951,-0.00106027,Sell
20170323,2345.959961,-0.000843996,Sell
20170324,2343.97998,-0.001019587,Sell
20170327,2341.590088,0.007251474,Buy
20170328,2358.570068,0.001085325,Buy
20170329,2361.129883,0.00293511,Buy
20170330,2368.060059,-0.002255048,Sell
20170331,2362.719971,-0.001642126,Sell
20170403,2358.840088,0.000559522,Buy
20170404,2360.159912,-0.003054861,Sell
20170405,2352.949951,0.001929509,Buy
20170406,2357.48999,-0.00082713,Sell
20170407,2355.540039,0.000687686,Buy
20170410,2357.159912,-0.001433879,Sell
20170411,2353.780029,-0.003759951,Sell
20170412,2344.929932,-0.006814694,Sell
20170413,2328.949951,0.008613349,Buy
20170417,2349.01001,-0.00290338,Sell
20170418,2342.189941,-0.001716351,Sell
20170419,2338.169922,0.007557263,Buy
20170420,2355.840088,-0.003035073,Sell
20170421,2348.689941,0.010840069,Buy
20170424,2374.149902,0.006090687,Buy
20170425,2388.610107,-0.000485703,Sell
20170426,2387.449951,0.00055292,Buy
20170427,2388.77002,-0.001913147,Sell
20170428,2384.199951,0.001732291,Buy
20170501,2388.330078,0.00118905,Buy
20170502,2391.169922,-0.001271361,Sell
20170503,2388.129883,0.000582103,Buy
20170504,2389.52002,0.004088695,Buy
20170505,2399.290039,3.74E-05,Buy
20170508,2399.379883,-0.001025249,Sell
20170509,2396.919922,0.001130601,Buy
20170510,2399.629883,-0.002162809,Sell
20170511,2394.439941,-0.001478441,Sell
20170512,2390.899902,0.004776514,Buy
20170515,2402.320068,-0.000686897,Sell
20170516,2400.669922,-0.018178215,Sell
20170517,2357.030029,0.003686819,Buy
20170518,2365.719971,0.0067675,Buy
20170519,2381.72998,0.005160132,Buy
20170522,2394.02002,0.001837872,Buy
20170523,2398.419922,0.002489127,Buy
20170524,2404.389893,0.004441948,Buy
20170525,2415.070068,0.00031055,Buy
20170526,2415.820068,-0.001204624,Sell
20170530,2412.909912,-0.000459969,Sell
20170531,2411.800049,0.007571113,Buy
20170601,2430.060059,0.003707731,Buy
20170602,2439.070068,-0.001217665,Sell
20170605,2436.100098,-0.00277904,Sell
20170606,2429.330078,0.001568257,Buy
20170607,2433.139893,0.000267205,Buy
20170608,2433.790039,-0.000829989,Sell
20170609,2431.77002,-0.000978763,Sell
20170612,2429.389893,0.004511505,Buy
20170613,2440.350098,-0.000995831,Sell
20170614,2437.919922,-0.002239598,Sell
20170615,2432.459961,0.000283639,Buy
20170616,2433.149902,0.008347229,Buy
20170619,2453.459961,-0.006696638,Sell
20170620,2437.030029,-0.000582644,Sell
20170621,2435.610107,-0.000455782,Sell
20170622,2434.5,0.001560916,Buy
20170623,2438.300049,0.000315802,Buy
20170626,2439.070068,-0.008072825,Sell
20170627,2419.379883,0.008808066,Buy
20170628,2440.689941,-0.008600023,Sell
20170629,2419.699951,0.001533232,Buy
20170630,2423.409912,0.002310834,Buy
20170703,2429.01001,0.001453279,Buy
20170705,2432.540039,-0.009368824,Sell
20170706,2409.75,0.006403126,Buy
20170707,2425.179932,0.000927766,Buy
20170710,2427.429932,-0.000782681,Sell
20170711,2425.530029,0.007305608,Buy
20170712,2443.25,0.001874584,Buy
20170713,2447.830078,0.004673503,Buy
20170714,2459.27002,-5.29E-05,Sell
20170717,2459.139893,0.000597857,Buy
20170718,2460.610107,0.005372639,Buy
20170719,2473.830078,-0.000153659,Sell
20170720,2473.449951,-0.000367872,Sell
20170721,2472.540039,-0.001063735,Sell
20170724,2469.909912,0.002923172,Buy
20170725,2477.129883,0.000282664,Buy
20170726,2477.830078,-0.000972688,Sell
20170727,2475.419922,-0.001341115,Sell
20170728,2472.100098,-0.000728146,Sell
20170731,2470.300049,0.002449115,Buy
20170801,2476.350098,0.000492648,Buy
20170802,2477.570068,-0.002183654,Sell
20170803,2472.159912,0.001889104,Buy
20170804,2476.830078,0.0016472,Buy
20170807,2480.909912,-0.002414433,Sell
20170808,2474.919922,-0.000363609,Sell
20170809,2474.02002,-0.014474442,Sell
20170810,2438.209961,0.00127557,Buy
20170811,2441.320068,0.010043755,Buy
20170814,2465.840088,-0.000498808,Sell
20170815,2464.610107,0.001420103,Buy
20170816,2468.110107,-0.015436952,Sell
20170817,2430.01001,-0.001835367,Sell
20170818,2425.550049,0.001162651,Buy
20170821,2428.370117,0.00994078,Buy
20170822,2452.51001,-0.003453593,Sell
20170823,2444.040039,-0.002074462,Sell
20170824,2438.969971,0.001672869,Buy
20170825,2443.050049,0.000487072,Buy
20170828,2444.23999,0.000842822,Buy
20170829,2446.300049,0.004615149,Buy
20170830,2457.590088,0.005720976,Buy
20170831,2471.649902,0.001982541,Buy
20170901,2476.550049,-0.007550807,Sell
20170905,2457.850098,0.003128727,Buy
20170906,2465.540039,-0.000178436,Sell
20170907,2465.100098,-0.001488851,Sell
20170908,2461.429932,0.010839299,Buy
20170911,2488.110107,0.003363948,Buy
20170912,2496.47998,0.000757121,Buy
20170913,2498.370117,-0.001100718,Sell
20170914,2495.620117,0.001847181,Buy
20170915,2500.22998,0.001455921,Buy
20170918,2503.870117,0.001110195,Buy
20170919,2506.649902,0.000634348,Buy
20170920,2508.23999,-0.003045917,Sell
20170921,2500.600098,0.000647794,Buy
20170922,2502.219971,-0.00222205,Sell
20170925,2496.659912,7.22E-05,Buy
20170926,2496.840088,0.004085144,Buy
20170927,2507.040039,0.001204616,Buy
20170928,2510.060059,0.00370511,Buy
20170929,2519.360107,0.003874004,Buy
20171002,2529.120117,0.002158838,Buy
20171003,2534.580078,0.00124672,Buy
20171004,2537.73999,0.005646787,Buy
20171005,2552.070068,-0.001073634,Sell
20171006,2549.330078,-0.001804434,Sell
20171009,2544.72998,0.002322413,Buy
20171010,2550.639893,0.001803507,Buy
20171011,2555.23999,-0.001686753,Sell
20171012,2550.929932,0.000878107,Buy
20171013,2553.169922,0.001750753,Buy
20171016,2557.639893,0.000672579,Buy
20171017,2559.360107,0.000742335,Buy
20171018,2561.26001,0.000327998,Buy
20171019,2562.100098,0.005116843,Buy
20171020,2575.209961,-0.003972484,Sell
20171023,2564.97998,0.001617909,Buy
20171024,2569.129883,-0.00466305,Sell
20171025,2557.149902,0.001270946,Buy
20171026,2560.399902,0.008073022,Buy
20171027,2581.070068,-0.00319247,Sell
20171030,2572.830078,0.000944459,Buy
20171031,2575.26001,0.00159211,Buy
20171101,2579.360107,0.000189966,Buy
20171102,2579.850098,0.003097075,Buy
20171103,2587.840088,0.001271251,Buy
20171106,2591.129883,-0.000189103,Sell
20171107,2590.639893,0.001443655,Buy
20171108,2594.379883,-0.003761888,Sell
20171109,2584.620117,-0.000897644,Sell
20171110,2582.300049,0.000983634,Buy
20171113,2584.840088,-0.002309609,Sell
20171114,2578.870117,-0.005525676,Sell
20171115,2564.620117,0.008196058,Buy
20171116,2585.639893,-0.002625963,Sell
20171117,2578.850098,0.001275683,Buy
20171120,2582.139893,0.006541139,Buy
20171121,2599.030029,-0.000750261,Sell
20171122,2597.080078,0.002056095,Buy
20171124,2602.419922,-0.000384258,Sell
20171127,2601.419922,0.009848513,Buy
20171128,2627.040039,-0.000369226,Sell
20171129,2626.070068,0.008190951,Buy
20171130,2647.580078,-0.002024531,Sell
20171201,2642.219971,-0.001052157,Sell
20171204,2639.439941,-0.003739382,Sell
20171205,2629.570068,-0.000114105,Sell
20171206,2629.27002,0.002932358,Buy
20171207,2636.97998,0.005506306,Buy
20171208,2651.5,0.003201957,Buy
20171211,2659.98999,0.001548922,Buy
20171212,2664.110107,-0.000472957,Sell
20171213,2662.850098,-0.004070859,Sell
20171214,2652.01001,0.008974344,Buy
20171215,2675.810059,0.005362807,Buy
20171218,2690.159912,-0.003230269,Sell
20171219,2681.469971,-0.000827893,Sell
20171220,2679.25,0.001985656,Buy
20171221,2684.570068,-0.000458166,Sell
20171222,2683.340088,-0.001058415,Sell
20171226,2680.5,0.000790941,Buy
20171227,2682.620117,0.001833999,Buy
20171228,2687.540039,-0.005183153,Sell
20171229,2673.610107,0.008303362,Buy
20180102,2695.810059,0.006398819,Buy
20180103,2713.060059,0.004028636,Buy
20180104,2723.98999,0.007033767,Buy
20180105,2743.149902,0.001662344,Buy
20180108,2747.709961,0.001302932,Buy
20180109,2751.290039,-0.001112227,Sell
20180110,2748.22998,0.007033647,Buy
20180111,2767.560059,0.006749603,Buy
20180112,2786.23999,-0.003524487,Sell
20180116,2776.419922,0.009415052,Buy
20180117,2802.560059,-0.00161639,Sell
20180118,2798.030029,0.004385235,Buy
20180119,2810.300049,0.008066727,Buy
20180122,2832.969971,0.002174365,Buy
20180123,2839.129883,-0.000559976,Sell
20180124,2837.540039,0.000602621,Buy
20180125,2839.25,0.011841196,Buy
20180126,2872.870117,-0.006731974,Sell
20180129,2853.530029,-0.010898815,Sell
20180130,2822.429932,0.000488985,Buy
20180131,2823.810059,-0.000648089,Sell
20180201,2821.97998,-0.021208548,Sell
20180202,2762.129883,-0.040979225,Sell
20180205,2648.939941,0.017440921,Buy
20180206,2695.139893,-0.005001589,Sell
20180207,2681.659912,-0.03753642,Sell
20180208,2581,0.01493609,Buy
20180209,2619.550049,0.013914585,Buy
20180212,2656,0.00261293,Buy
20180213,2662.939941,0.013402458,Buy
20180214,2698.629883,0.012069113,Buy
20180215,2731.199951,0.00037347,Buy
20180216,2732.219971,-0.005841389,Sell
20180220,2716.26001,-0.005496503,Sell
20180221,2701.330078,0.000973551,Buy
20180222,2703.959961,0.016028376,Buy
20180223,2747.300049,0.011757015,Buy
20180226,2779.600098,-0.012706889,Sell
20180227,2744.280029,-0.011095789,Sell
20180228,2713.830078,-0.013324399,Sell
20180301,2677.669922,0.005071603,Buy
20180302,2691.25,0.011032026,Buy
20180305,2720.939941,0.002638859,Buy
20180306,2728.120117,-0.000483875,Sell
20180307,2726.800049,0.004463078,Buy
20180308,2738.969971,0.017378831,Buy
20180309,2786.570068,-0.001273985,Sell
20180312,2783.02002,-0.006363577,Sell
20180313,2765.310059,-0.005724522,Sell
20180314,2749.47998,-0.00078193,Sell
